LOAN_ID|ORIG_CHN|Seller.Name|ORIG_RT|ORIG_AMT|ORIG_TRM|ORIG_DTE|FRST_DTE|OLTV|OCLTV|NUM_BO|DTI|CSCORE_B|FTHB_FLG|PURPOSE|PROP_TYP|NUM_UNIT|OCC_STAT|STATE|ZIP_3|MI_PCT|Product.Type|CSCORE_C|MI_TYPE|RELOCATION_FLG
179286663589|R|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|8.25|106000|360|01/2000|03/2000|80.0||2.0|31.0|746.0|N|P|SF|1|P|OR|977||FRM|584.0||N
263208330478|C|NETBANK FUNDING SERVICES|8.0|93000|360|02/2000|03/2000|54.0||2.0|21.0|739.0|Y|P|SF|1|P|IL|606||FRM|731.0||N
759499753579|R|JPMORGAN CHASE BANK, NA|7.5|85000|180|12/1999|01/2000|78.0||2.0|17.0|621.0|N|R|SF|1|P|CA|936||FRM|625.0||N
912174323310|R|JPMORGAN CHASE BANK, NA|7.875|80000|360|12/1999|02/2000|89.0||2.0|16.0|747.0|N|R|SF|1|P|MI|481|25.0|FRM||1.0|N
792562143471|R|OTHER|8.0|115000|360|12/1999|02/2000|77.0||2.0|51.0|756.0|Y|P|PU|1|P|MN|551||FRM|766.0||N
859965451541|R|REGIONS BANK|7.875|62000|360|12/1999|02/2000|80.0||1.0|22.0|676.0|N|C|SF|1|P|NC|273||FRM|||N
341446176752|B|OLD KENT MORTGAGE COMPANY|8.75|60000|180|10/1999|12/1999|24.0||1.0|30.0|654.0|N|C|SF|1|P|NM|875||FRM|||N
878053961814|C|CITIMORTGAGE, INC.|8.125|240000|360|12/1999|02/2000|49.0||1.0|18.0|665.0|N|R|SF|1|P|MO|631||FRM|||N
300979380585|C|JPMORGAN CHASE BANK, NA|7.875|110000|240|12/1999|02/2000|64.0||2.0|14.0|731.0|N|R|SF|1|P|AL|357||FRM|725.0||N
844175520120|R|GMAC MORTGAGE, LLC|8.25|160000|360|02/2000|04/2000|79.0||1.0||715.0|N|P|PU|1|P|PA|190||FRM|||N
568434961465|R|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|7.75|85000|360|11/1999|01/2000|95.0||2.0|55.0|691.0|Y|P|SF|1|P|PA|189|30.0|FRM|792.0|1.0|N
304254590019|C|OTHER|8.375|110000|360|01/2000|03/2000|95.0||2.0|46.0|688.0|Y|P|PU|1|P|TX|770|25.0|FRM|672.0|1.0|N
752759608141|R|OTHER|8.875|195000|360|11/1999|01/2000|75.0||1.0|32.0|606.0|N|C|SF|1|P|IL|606||FRM|||N
269235554160|R|SUNTRUST MORTGAGE INC.|8.125|78000|360|01/2000|03/2000|89.0||2.0|9.0|798.0|N|P|CO|1|S|MD|218|25.0|FRM|767.0|1.0|N
722900029982|R|USAA FEDERAL SAVINGS BANK|7.625|75000|360|12/1999|02/2000|60.0||2.0|22.0|676.0|Y|P|SF|1|P|AZ|850||FRM|758.0||N
256066098239|R|CITIMORTGAGE, INC.|8.25|141000|180|02/2000|04/2000|82.0||2.0|35.0|738.0|N|R|SF|1|P|CA|919|6.0|FRM|721.0|1.0|N
894048087495|R|OTHER|8.375|150000|360|01/2000|03/2000|54.0||2.0|32.0|684.0|N|P|SF|1|P|NC|274||FRM|682.0||N
266252919976|R|OTHER|9.125|135000|360|01/2000|03/2000|75.0||2.0|48.0||N|R|PU|1|P|OK|730||FRM|498.0||N
848809384295|R|PNC BANK, N.A.|7.375|221000|240|02/2000|04/2000|75.0||2.0|46.0|643.0|N|P|SF|1|P|NY|117||FRM|713.0||N
590305350113|B|OTHER|7.5|56000|180|11/1999|01/2000|69.0||2.0|27.0|787.0|N|P|SF|1|S|CA|923||FRM|775.0||N
415636205992|B|JPMORGAN CHASE BANK, NA|8.0|110000|360|01/2000|03/2000|95.0||1.0|26.0|579.0|N|P|SF|1|P|MI|481|30.0|FRM||1.0|N
553579492893|R|BISHOPS GATE RESIDENTIAL MORTGAGE TRUST|7.5|160000|360|12/1999|02/2000|78.0||2.0|32.0|686.0|N|C|SF|1|P|IA|520||FRM|693.0||N
212226351092|R|JPMORGAN CHASE BANK, NA|8.375|136000|360|12/1999|03/2000|69.0||2.0|49.0|685.0|N|R|SF|1|P|CA|923||FRM|||N
312770251058|R|JPMORGAN CHASE BANK, NA|8.375|54000|360|01/2000|03/2000|90.0||2.0|4.0|698.0|Y|P|SF|1|P|FL|342|25.0|FRM||1.0|N
378486989819|R|JPMORGAN CHASE BANK, NA|8.125|143000|360|01/2000|03/2000|48.0||2.0|36.0|593.0|N|C|SF|1|P|MI|483||FRM|526.0||N
267541580566|B|OTHER|8.875|206000|360|01/2000|03/2000|80.0||2.0|36.0|677.0|N|R|SF|1|P|CA|920||FRM|676.0||N
914021020611|R|GMAC MORTGAGE, LLC|7.99|148000|360|01/2000|03/2000|80.0||2.0|45.0|647.0|N|R|SF|1|P|CA|902||FRM|642.0||N
196192718236|R|BANK OF AMERICA, N.A.|8.875|95000|360|02/2000|04/2000|65.0||2.0|18.0|800.0|N|C|SF|1|I|WA|981||FRM|805.0||N
360215724102|R|OTHER|8.25|76000|360|01/2000|03/2000|76.0||1.0|48.0|698.0|Y|P|SF|1|P|TX|774||FRM|||N
891913899597|C|SUNTRUST MORTGAGE INC.|8.0|222000|360|11/1999|01/2000|95.0||2.0|34.0|700.0|Y|P|SF|1|P|MA|27|30.0|FRM|661.0|1.0|N
753753082356|R|JPMORGAN CHASE BANK, NA|8.0|40000|360|12/1999|02/2000|25.0||2.0|12.0|782.0|N|R|SF|1|P|WI|530||FRM|769.0||N
931895714126|R|OTHER|7.875|32000|120|01/2000|03/2000|76.0||2.0|24.0|683.0|N|R|SF|1|P|TX|791||FRM|643.0||N
126474143105|R|JPMORGAN CHASE BANK, NA|7.875|79000|180|01/2000|03/2000|63.0||2.0|28.0|774.0|N|C|SF|1|P|KY|402||FRM|||N
442442698676|R|JPMORGAN CHASE BANK, NA|7.375|132000|360|10/1999|12/1999|80.0||2.0|23.0|744.0|N|P|SF|1|P|WA|982||FRM|||N
695869426342|C|AMTRUST BANK|8.75|114000|360|11/1999|01/2000|89.0||1.0|40.0|734.0|N|C|SF|1|P|MI|482|25.0|FRM||1.0|N
579474109674|R|OTHER|8.0|178000|360|01/2000|03/2000|85.0||2.0|33.0|654.0|N|P|SF|1|P|IN|460|12.0|FRM|678.0|1.0|N
613269059444|B|FLAGSTAR BANK, FSB|8.0|96000|360|01/2000|03/2000|80.0||3.0|25.0|779.0|N|P|SF|1|P|RI|28||FRM|696.0||N
698008351809|R|OTHER|7.75|227000|360|11/1999|01/2000|80.0||2.0|42.0|761.0|N|P|PU|1|P|FL|330||FRM|778.0||N
198437168181|C|AMTRUST BANK|7.875|80000|360|01/2000|03/2000|90.0||1.0|25.0|791.0|N|P|SF|1|P|WI|531|17.0|FRM||1.0|N
332248232829|R|JPMORGAN CHASE BANK, NA|8.5|51000|360|02/2000|04/2000|90.0||1.0|30.0|751.0|N|P|SF|2|P|NJ|73|17.0|FRM||1.0|N
905153310661|R|WELLS FARGO BANK, N.A.|7.875|90000|360|12/1999|02/2000|80.0||1.0|41.0|756.0|N|P|CO|1|P|NY|109||FRM|||N
647964238956|C|BANK OF AMERICA, N.A.|7.5|171000|360|11/1999|01/2000|90.0||2.0|33.0|707.0|N|P|SF|1|P|IN|460|17.0|FRM|674.0|1.0|N
